Cp	Case=Cpd
SIPaM	Case=Ins|Gender=Masc|Number=Sing|VerbForm=Part
SVF	Case=Voc|Gender=Fem|Number=Sing
SGM	Case=Gen|Gender=Masc|Number=Sing
SNMGd	Case=Nom|Gender=Masc|Number=Sing|VerbForm=Gdv
SN	Case=Nom|Number=Sing
SFu1In	Tense=Fut|Mood=Ind|Person=1|Number=Sing
SPr2Im	Tense=Pres|Mood=Imp|Person=2|Number=Sing
SGF	Case=Gen|Gender=Fem|Number=Sing
SPs3InTh	Tense=Past|Mood=Ind|Formation=them|Person=3|Number=Sing
PIM	Case=Ins|Gender=Masc|Number=Plur
SPs3InPe	Tense=Past|Mood=Ind|Formation=peri|Person=3|Number=Sing
SNFGd	Case=Nom|Gender=Fem|Number=Sing|VerbForm=Gdv
SPr3ImPv	Tense=Pres|Mood=Imp|Voice=Pass|Person=3|Number=Sing
SPr3Im	Tense=Pres|Mood=Imp|Person=3|Number=Sing
PaCp	Case=Cpd|VerbForm=Part
PGM	Case=Gen|Gender=Masc|Number=Plur
SLPaM	Case=Loc|Gender=Masc|Number=Sing|VerbForm=Part
SFu2In	Tense=Fut|Mood=Ind|Person=2|Number=Sing
PINe	Case=Ins|Gender=Neut|Number=Plur
SAPaF	Case=Acc|Gender=Fem|Number=Sing|VerbForm=Part
SNPaPrM	Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part
DuLM	Case=Loc|Gender=Masc|Number=Dual
PAM	Case=Acc|Gender=Masc|Number=Plur
SAPaM	Case=Acc|Gender=Masc|Number=Sing|VerbForm=Part
PANe	Case=Acc|Gender=Neut|Number=Plur
SPs1	Tense=Past|Mood=Jus|Person=1|Number=Sing
SGNe	Case=Gen|Gender=Neut|Number=Sing
SINe	Case=Ins|Gender=Neut|Number=Sing
PLF	Case=Loc|Gender=Fem|Number=Plur
PNNe	Case=Nom|Gender=Neut|Number=Plur
PPr3InPv	Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Plur
SDF	Case=Dat|Gender=Fem|Number=Sing
PPr1In	Tense=Pres|Mood=Ind|Person=1|Number=Plur
PA	Case=Acc|Number=Plur
DuNM	Case=Nom|Gender=Masc|Number=Dual
SA	Case=Acc|Number=Sing
DuPr3Im	Tense=Pres|Mood=Imp|Person=3|Number=Dual
SDNe	Case=Dat|Gender=Neut|Number=Sing
PAF	Case=Acc|Gender=Fem|Number=Plur
SAPaPrM	Case=Acc|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part
PLM	Case=Loc|Gender=Masc|Number=Plur
PVNe	Case=Voc|Gender=Neut|Number=Plur
PG	Case=Gen|Number=Plur
SDM	Case=Dat|Gender=Masc|Number=Sing
PPr1Su	Tense=Pres|Mood=Sub|Person=1|Number=Plur
DuAM	Case=Acc|Gender=Masc|Number=Dual
PPr3O	Tense=Pres|Mood=Opt|Person=3|Number=Plur
In	VerbForm=Inf
SAMGd	Case=Acc|Gender=Masc|Number=Sing|VerbForm=Gdv
SFu3InPe	Tense=Fut|Mood=Ind|Formation=peri|Person=3|Number=Sing
SPr3OPv	Tense=Pres|Mood=Opt|Voice=Pass|Person=3|Number=Sing
SLF	Case=Loc|Gender=Fem|Number=Sing
PIMGd	Case=Ins|Gender=Masc|Number=Plur|VerbForm=Gdv
SFu3In	Tense=Fut|Mood=Ind|Person=3|Number=Sing
SD	Case=Dat|Number=Sing
PGPaM	Case=Gen|Gender=Masc|Number=Plur|VerbForm=Part
SGPaF	Case=Gen|Gender=Fem|Number=Sing|VerbForm=Part
PIPaNe	Case=Ins|Gender=Neut|Number=Plur|VerbForm=Part
GdCp	Case=Cpd|VerbForm=Gdv
PDM	Case=Dat|Gender=Masc|Number=Plur
PAPaF	Case=Acc|Gender=Fem|Number=Plur|VerbForm=Part
PPs3In	Tense=Past|Mood=Ind|Person=3|Number=Plur
PGF	Case=Gen|Gender=Fem|Number=Plur
PFu3In	Tense=Fut|Mood=Ind|Person=3|Number=Plur
P3ImIn	Tense=Impf|Mood=Ind|Person=3|Number=Plur
PLNe	Case=Loc|Gender=Neut|Number=Plur
SPs3InFs	Tense=Past|Mood=Ind|Formation=s|Person=3|Number=Sing
SAPaPrMPv	Case=Acc|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
SGPaPrM	Case=Gen|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part
DuPs3In	Tense=Past|Mood=Ind|Person=3|Number=Dual
DuGPaPrM	Case=Gen|Gender=Masc|Number=Dual|Tense=Pres|VerbForm=Part
DuNPaM	Case=Nom|Gender=Masc|Number=Dual|VerbForm=Part
DuGM	Case=Gen|Gender=Masc|Number=Dual
SAPaPrF	Case=Acc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part
SNPaPrF	Case=Nom|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part
PAPaM	Case=Acc|Gender=Masc|Number=Plur|VerbForm=Part
PPr2Im	Tense=Pres|Mood=Imp|Person=2|Number=Plur
SPs2	Tense=Past|Mood=Jus|Person=2|Number=Sing
SPs3	Tense=Past|Mood=Jus|Person=3|Number=Sing
DuG	Case=Gen|Number=Dual
SNPaPsM	Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
SLPaPrM	Case=Loc|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part
PNPaPrM	Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part
PaPrPvCp	Case=Cpd|Tense=Pres|VerbForm=Part|Voice=Pass
PFu1In	Tense=Fut|Mood=Ind|Person=1|Number=Plur
PN	Case=Nom|Number=Plur
DuANe	Case=Acc|Gender=Neut|Number=Dual
DuNPaNe	Case=Nom|Gender=Neut|Number=Dual|VerbForm=Part
DuNNe	Case=Nom|Gender=Neut|Number=Dual
SIPaNe	Case=Ins|Gender=Neut|Number=Sing|VerbForm=Part
PIF	Case=Ins|Gender=Fem|Number=Plur
S2ImIn	Tense=Impf|Mood=Ind|Person=2|Number=Sing
SPr2O	Tense=Pres|Mood=Opt|Person=2|Number=Sing
PNPaF	Case=Nom|Gender=Fem|Number=Plur|VerbForm=Part
SGPaPrF	Case=Gen|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part
PPs3InTh	Tense=Past|Mood=Ind|Formation=them|Person=3|Number=Plur
PGNe	Case=Gen|Gender=Neut|Number=Plur
DuLF	Case=Loc|Gender=Fem|Number=Dual
DuBM	Case=Abl|Gender=Masc|Number=Dual
PBM	Case=Abl|Gender=Masc|Number=Plur
PNPaFuNe	Case=Nom|Gender=Neut|Number=Plur|Tense=Fut|VerbForm=Part
SNPaPrNe	Case=Nom|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part
PIPaM	Case=Ins|Gender=Masc|Number=Plur|VerbForm=Part
PNPaNe	Case=Nom|Gender=Neut|Number=Plur|VerbForm=Part
SIPaPrM	Case=Ins|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part
PI	Case=Ins|Number=Plur
PGPaPrM	Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part
PNPaPrF	Case=Nom|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part
SGPaM	Case=Gen|Gender=Masc|Number=Sing|VerbForm=Part
PaPrCp	Case=Cpd|Tense=Pres|VerbForm=Part
DuAPaM	Case=Acc|Gender=Masc|Number=Dual|VerbForm=Part
DuN	Case=Nom|Number=Dual
DuAPaPrM	Case=Acc|Gender=Masc|Number=Dual|Tense=Pres|VerbForm=Part
DuPr1In	Tense=Pres|Mood=Ind|Person=1|Number=Dual
PPr2In	Tense=Pres|Mood=Ind|Person=2|Number=Plur
DuNF	Case=Nom|Gender=Fem|Number=Dual
DuPs3InTh	Tense=Past|Mood=Ind|Formation=them|Person=3|Number=Dual
DuAF	Case=Acc|Gender=Fem|Number=Dual
SPs3InFis	Tense=Past|Mood=Ind|Formation=is|Person=3|Number=Sing
DuIF	Case=Ins|Gender=Fem|Number=Dual
SAPaPrFPv	Case=Acc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
DuGNe	Case=Gen|Gender=Neut|Number=Dual
SLPaPrF	Case=Loc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part
DuGF	Case=Gen|Gender=Fem|Number=Dual
PPs1In	Tense=Past|Mood=Ind|Formation=root|Person=1|Number=Plur
SNPaFuM	Case=Nom|Gender=Masc|Number=Sing|Tense=Fut|VerbForm=Part
SNPaPrNePv	Case=Nom|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
DuPr3InPv	Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Dual
PLPaNe	Case=Loc|Gender=Neut|Number=Plur|VerbForm=Part
PLPaF	Case=Loc|Gender=Fem|Number=Plur|VerbForm=Part
PNMGd	Case=Nom|Gender=Masc|Number=Plur|VerbForm=Gdv
PLPaM	Case=Loc|Gender=Masc|Number=Plur|VerbForm=Part
SDPaF	Case=Dat|Gender=Fem|Number=Sing|VerbForm=Part
DuD	Case=Dat|Number=Dual
DuIM	Case=Ins|Gender=Masc|Number=Dual
SPs2Im	Tense=Past|Mood=Imp|Person=2|Number=Sing
PPs2Im	Tense=Past|Mood=Imp|Person=2|Number=Plur
SGPaNe	Case=Gen|Gender=Neut|Number=Sing|VerbForm=Part
DuPr2In	Tense=Pres|Mood=Ind|Person=2|Number=Dual
DuPr2Im	Tense=Pres|Mood=Imp|Person=2|Number=Dual
U	_
PD	Case=Dat|Number=Plur
PPr3Im	Tense=Pres|Mood=Imp|Person=3|Number=Plur
DuVM	Case=Voc|Gender=Masc|Number=Dual
PPr1O	Tense=Pres|Mood=Opt|Person=1|Number=Plur
PPs1O	Tense=Past|Mood=Opt|Person=1|Number=Plur
SBF	Case=Abl|Gender=Fem|Number=Sing
SPr3Su	Tense=Pres|Mood=Sub|Person=3|Number=Sing
SPr2Su	Tense=Pres|Mood=Sub|Person=2|Number=Sing
SPr2	Tense=Pres|Mood=Jus|Person=2|Number=Sing
SPs2In	Tense=Past|Mood=Ind|Person=2|Number=Sing
PPs3	Tense=Past|Mood=Jus|Person=3|Number=Plur
PVM	Case=Voc|Gender=Masc|Number=Plur
SPs1In	Tense=Past|Mood=Ind|Formation=red|Person=1|Number=Sing
SPs1InFs	Tense=Past|Mood=Ind|Formation=s|Person=1|Number=Sing
SPs1InTh	Tense=Past|Mood=Ind|Formation=them|Person=1|Number=Sing
SB	Case=Abl|Number=Sing
PGNeGd	Case=Gen|Gender=Neut|Number=Plur|VerbForm=Gdv
SBPaM	Case=Abl|Gender=Masc|Number=Sing|VerbForm=Part
DuNMGd	Case=Nom|Gender=Masc|Number=Dual|VerbForm=Gdv
DuPr3O	Tense=Pres|Mood=Opt|Person=3|Number=Dual
SBMGd	Case=Abl|Gender=Masc|Number=Sing|VerbForm=Gdv
PGMGd	Case=Gen|Gender=Masc|Number=Plur|VerbForm=Gdv
SLPaPrNe	Case=Loc|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part
SAPaFuNe	Case=Acc|Gender=Neut|Number=Sing|Tense=Fut|VerbForm=Part
DuPr3In	Tense=Pres|Mood=Ind|Person=3|Number=Dual
SL	Case=Loc|Number=Sing
DuPr1Im	Tense=Pres|Mood=Imp|Person=1|Number=Dual
SDFGd	Case=Dat|Gender=Fem|Number=Sing|VerbForm=Gdv
PL	Case=Loc|Number=Plur
S3ImInPv	Tense=Impf|Mood=Ind|Voice=Pass|Person=3|Number=Sing
SLPaPrMPv	Case=Loc|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
PVF	Case=Voc|Gender=Fem|Number=Plur
PPs2	Tense=Past|Mood=Jus|Person=2|Number=Plur
DuPs2	Tense=Past|Mood=Jus|Person=2|Number=Dual
PNPaPsM	Case=Nom|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part
PB	Case=Abl|Number=Plur
PBF	Case=Abl|Gender=Fem|Number=Plur
PIPaPrM	Case=Ins|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part
PPr2O	Tense=Pres|Mood=Opt|Person=2|Number=Plur
DuNPaPsM	Case=Nom|Gender=Masc|Number=Dual|Tense=Past|VerbForm=Part
DuPs2Im	Tense=Past|Mood=Imp|Person=2|Number=Dual
SDPaPrM	Case=Dat|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part
SPs1O	Tense=Past|Mood=Opt|Person=1|Number=Sing
SPr1O	Tense=Pres|Mood=Opt|Person=1|Number=Sing
DuNPaPrM	Case=Nom|Gender=Masc|Number=Dual|Tense=Pres|VerbForm=Part
SPs1Su	Mood=Sub|Number=Sing|Person=1|Tense=Past
NeCp	Case=Cpd|Gender=Neut
SNPaPrMPv	Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
PNNeGd	Case=Nom|Gender=Neut|Number=Plur|VerbForm=Gdv
SLNeGd	Case=Loc|Gender=Neut|Number=Sing|VerbForm=Gdv
SLPaPsM	Case=Loc|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
DuDF	Case=Dat|Gender=Fem|Number=Dual
SPs3Su	Mood=Sub|Number=Sing|Person=3|Tense=Past
MCp	Case=Cpd|Gender=Masc
DuLPaM	Case=Loc|Gender=Masc|Number=Dual|VerbForm=Part
P1ImIn	Tense=Impf|Mood=Ind|Person=1|Number=Plur
PNPaPrMPv	Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
PLPaPrNePv	Case=Loc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
S1ImIn	Tense=Impf|Mood=Ind|Person=1|Number=Sing
Du3ImIn	Tense=Impf|Mood=Ind|Person=3|Number=Dual
SGPaPrMPv	Case=Gen|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
PBNe	Case=Abl|Gender=Neut|Number=Plur
SVPaM	Case=Voc|Gender=Masc|Number=Sing|VerbForm=Part
PAPaNe	Case=Acc|Gender=Neut|Number=Plur|VerbForm=Part
PPr2Su	Tense=Pres|Mood=Sub|Person=2|Number=Plur
SVPaF	Case=Voc|Gender=Fem|Number=Sing|VerbForm=Part
SIPaPrMPv	Case=Ins|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
PAPaPrF	Case=Acc|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part
SBPaNe	Case=Abl|Gender=Neut|Number=Sing|VerbForm=Part
PNFGd	Case=Nom|Gender=Fem|Number=Plur|VerbForm=Gdv
PDF	Case=Dat|Gender=Fem|Number=Plur
SPs3InPv	Tense=Past|Mood=Ind|Voice=Pass|Person=3|Number=Sing
PGPaF	Case=Gen|Gender=Fem|Number=Plur|VerbForm=Part
PPs1	Tense=Past|Mood=Jus|Person=1|Number=Plur
SPs3Im	Tense=Past|Mood=Imp|Person=3|Number=Sing
P2ImIn	Tense=Impf|Mood=Ind|Person=2|Number=Plur
PPs3InFs	Tense=Past|Mood=Ind|Formation=s|Person=3|Number=Plur
SNPaPrFPv	Case=Nom|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
DuFu3In	Tense=Fut|Mood=Ind|Person=3|Number=Dual
SGMGd	Case=Gen|Gender=Masc|Number=Sing|VerbForm=Gdv
SIPaPrNe	Case=Ins|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part
SAFGd	Case=Acc|Gender=Fem|Number=Sing|VerbForm=Gdv
SPr1Im	Tense=Pres|Mood=Imp|Person=1|Number=Sing
SFu1InPe	Tense=Fut|Mood=Ind|Formation=peri|Person=1|Number=Sing
PAPaPrM	Case=Acc|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part
DuPs3InPe	Tense=Past|Mood=Ind|Formation=peri|Person=3|Number=Dual
SPs2Su	Tense=Past|Mood=Sub|Person=2|Number=Sing
SAPaPrNe	Case=Acc|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part
P3ImInPv	Tense=Impf|Mood=Ind|Voice=Pass|Person=3|Number=Plur
SDPaM	Case=Dat|Gender=Masc|Number=Sing|VerbForm=Part
SDMGd	Case=Dat|Gender=Masc|Number=Sing|VerbForm=Gdv
SPr1Su	Tense=Pres|Mood=Sub|Person=1|Number=Sing
SGPaPrNe	Case=Gen|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part
DuNPaPrNe	Case=Nom|Gender=Neut|Number=Dual|Tense=Pres|VerbForm=Part
PLPaPrMPv	Case=Loc|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
PFu2In	Tense=Fut|Mood=Ind|Person=2|Number=Plur
PPr3	Tense=Pres|Mood=Jus|Person=3|Number=Plur
FCp	Case=Cpd|Gender=Fem
SLPaPsF	Case=Loc|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part
PaPsCp	Case=Cpd|Tense=Past|VerbForm=Part
SPs2O	Tense=Past|Mood=Opt|Person=2|Number=Sing
DuNPaF	Case=Nom|Gender=Fem|Number=Dual|VerbForm=Part
SBPaFuNe	Case=Abl|Gender=Neut|Number=Sing|Tense=Fut|VerbForm=Part
PIPaPrF	Case=Ins|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part
PIPaF	Case=Ins|Gender=Fem|Number=Plur|VerbForm=Part
SVMGd	Case=Voc|Gender=Masc|Number=Sing|VerbForm=Gdv
SIPaPrNePv	Case=Ins|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
DuDM	Case=Dat|Gender=Masc|Number=Dual
DuNPaPrF	Case=Nom|Gender=Fem|Number=Dual|Tense=Pres|VerbForm=Part
P3In	Tense=Plp|Mood=Ind|Person=3|Number=Plur
PLPaPrNe	Case=Loc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part
PPs2In	Tense=Past|Mood=Ind|Person=2|Number=Plur
SDPaPsM	Case=Dat|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
PAPaPrFPv	Case=Acc|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
PPs3InPe	Tense=Past|Mood=Ind|Formation=peri|Person=3|Number=Plur
PNPaPrNePv	Case=Nom|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
PGPaPrMPv	Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
PNPaPrFPv	Case=Nom|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
SLPaF	Case=Loc|Gender=Fem|Number=Sing|VerbForm=Part
SANeGd	Case=Acc|Gender=Neut|Number=Sing|VerbForm=Gdv
SGPaPsM	Case=Gen|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
SAPaPsM	Case=Acc|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
S3In	Tense=Plp|Mood=Ind|Person=3|Number=Sing
SPr3	Tense=Pres|Mood=Jus|Person=3|Number=Sing
SBPaPrNePv	Case=Abl|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
PDPaPrM	Case=Dat|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part
PLPaPrM	Case=Loc|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part
PFu3InPe	Tense=Fut|Mood=Ind|Formation=peri|Person=3|Number=Plur
SLPaPrNePv	Case=Loc|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
DuFu2In	Tense=Fut|Mood=Ind|Person=2|Number=Dual
PAPaPrMPv	Case=Acc|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
SNPaPsNe	Case=Nom|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part
SNPaPsF	Case=Nom|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part
SNPaFuNe	Case=Nom|Gender=Neut|Number=Sing|Tense=Fut|VerbForm=Part
DuPr1O	Tense=Pres|Mood=Opt|Person=1|Number=Dual
SPs1InFis	Tense=Past|Mood=Ind|Formation=is|Person=1|Number=Sing
SGNeGd	Case=Gen|Gender=Neut|Number=Sing|VerbForm=Gdv
DuA	Case=Acc|Number=Dual
SLMGd	Case=Loc|Gender=Masc|Number=Sing|VerbForm=Gdv
DuVNe	Case=Voc|Gender=Neut|Number=Dual
SPs3O	Tense=Past|Mood=Opt|Person=3|Number=Sing
DuIPaNe	Case=Ins|Gender=Neut|Number=Dual|VerbForm=Part
SBPaPrF	Case=Abl|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part
PPr3Su	Tense=Pres|Mood=Sub|Person=3|Number=Plur
SDPaFuM	Case=Dat|Gender=Masc|Number=Sing|Tense=Fut|VerbForm=Part
SLPaFuM	Case=Loc|Gender=Masc|Number=Sing|Tense=Fut|VerbForm=Part
DuLNe	Case=Loc|Gender=Neut|Number=Dual
SIMGd	Case=Ins|Gender=Masc|Number=Sing|VerbForm=Gdv
SBPaPsM	Case=Abl|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
SBPaPrM	Case=Abl|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part
PNPaPsNe	Case=Nom|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part
SAPaPsF	Case=Acc|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part
PAPaPsM	Case=Acc|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part
PANeGd	Case=Acc|Gender=Neut|Number=Plur|VerbForm=Gdv
PGPaPrF	Case=Gen|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part
DuBF	Case=Abl|Gender=Fem|Number=Dual
PBPaM	Case=Abl|Gender=Masc|Number=Plur|VerbForm=Part
DuAPaPsM	Case=Acc|Gender=Masc|Number=Dual|Tense=Past|VerbForm=Part
SIPaPsM	Case=Ins|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
DuAPaPrMPv	Case=Acc|Gender=Masc|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
PNPaPsF	Case=Nom|Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part
DuPs2In	Tense=Past|Mood=Ind|Person=2|Number=Dual
PGPaPrNe	Case=Gen|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part
PPr1Im	Tense=Pres|Mood=Imp|Person=1|Number=Plur
PIPaPrMPv	Case=Ins|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
SGPaFuM	Case=Gen|Gender=Masc|Number=Sing|Tense=Fut|VerbForm=Part
PAMGd	Case=Acc|Gender=Masc|Number=Plur|VerbForm=Gdv
SAPaPrNePv	Case=Acc|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
PGPaPrNePv	Case=Gen|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
PIPaPrNePv	Case=Ins|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
PAPaPsF	Case=Acc|Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part
DuBNe	Case=Abl|Gender=Neut|Number=Dual
DuDNe	Case=Dat|Gender=Neut|Number=Dual
SVNe	Case=Voc|Gender=Neut|Number=Sing
PGPaNe	Case=Gen|Gender=Neut|Number=Plur|VerbForm=Part
DuPs3Su	Mood=Sub|Number=Dual|Person=3|Tense=Past
PPr2	Mood=Jus|Number=Plur|Person=2|Tense=Pres
SLPaPsNe	Case=Loc|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part
SAPaPsNe	Case=Acc|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part
SBPaPsNe	Case=Abl|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part
PLPaPrF	Case=Loc|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part
DuPs3Im	Tense=Past|Mood=Imp|Person=3|Number=Dual
PPs3Im	Tense=Past|Mood=Imp|Person=3|Number=Plur
PIPaPrNe	Case=Ins|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part
SPr2InPv	Tense=Pres|Mood=Ind|Voice=Pass|Person=2|Number=Sing
PPr2ImPv	Tense=Pres|Mood=Imp|Voice=Pass|Person=2|Number=Plur
PPs1Su	Tense=Past|Mood=Sub|Person=1|Number=Plur
SVPaPrM	Case=Voc|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part
DuAPaNe	Case=Acc|Gender=Neut|Number=Dual|VerbForm=Part
Du2ImIn	Tense=Impf|Mood=Ind|Person=2|Number=Dual
PV	Case=Voc|Number=Plur
DuIPaPrMPv	Case=Ins|Gender=Masc|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
PDNe	Case=Dat|Gender=Neut|Number=Plur
DuAPaF	Case=Acc|Gender=Fem|Number=Dual|VerbForm=Part
SBNeGd	Case=Abl|Gender=Neut|Number=Sing|VerbForm=Gdv
PaFuCp	Case=Cpd|Tense=Fut|VerbForm=Part
DuGPaM	Case=Gen|Gender=Masc|Number=Dual|VerbForm=Part
SPs2InTh	Tense=Past|Mood=Ind|Formation=them|Person=2|Number=Sing
DuLPaPrF	Case=Loc|Gender=Fem|Number=Dual|Tense=Pres|VerbForm=Part
SPr1InPv	Tense=Pres|Mood=Ind|Voice=Pass|Person=1|Number=Sing
DuFu1In	Tense=Fut|Mood=Ind|Person=1|Number=Dual
PVMGd	Case=Voc|Gender=Masc|Number=Plur|VerbForm=Gdv
SPs2InFis	Tense=Past|Mood=Ind|Formation=is|Person=2|Number=Sing
